         16209533 function calls (15578171 primitive calls) in 117.503 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  117.509  117.509 runners.py:8(run)
        2    0.000    0.000  117.508   58.754 base_events.py:580(run_until_complete)
        2    0.000    0.000  117.508   58.754 base_events.py:557(run_forever)
        4    0.000    0.000  117.508   29.377 base_events.py:1784(_run_once)
        4    0.000    0.000  117.508   29.377 events.py:79(_run)
        4    0.010    0.002  117.508   29.377 {method 'run' of 'Context' objects}
        1    0.142    0.142  117.498  117.498 test_emoca_on_video_asyncio.py:51(reconstruct_video)
        2    0.000    0.000   81.239   40.620 datamodule.py:393(wrapped_fn)
        1    0.000    0.000   80.790   80.790 FaceVideoDataModule.py:3208(prepare_data)
        1    0.000    0.000   80.577   80.577 FaceVideoDataModule.py:229(_detect_faces)
        1    0.007    0.007   80.577   80.577 FaceVideoDataModule.py:340(_detect_faces_in_sequence)
     1004    0.026    0.000   80.395    0.080 FaceDataModuleBase.py:201(_detect_faces_in_image_wrapper)
     1004    0.006    0.000   80.246    0.080 FaceVideoDataModule.py:3242(_detect_faces_in_image)
     1004    2.087    0.002   80.240    0.080 FaceDataModuleBase.py:134(_detect_faces_in_image)
     1004    0.021    0.000   47.141    0.047 FaceDetector.py:91(run)
     1004    0.003    0.000   45.562    0.045 api.py:102(get_landmarks)
     1004    0.018    0.000   45.558    0.045 grad_mode.py:24(decorate_context)
     1004    0.145    0.000   45.513    0.045 api.py:116(get_landmarks_from_image)
102898/2174   21.409    0.000   32.924    0.015 module.py:1124(_call_impl)
       16    0.146    0.009   20.329    1.271 io.py:77(test)
       16    0.001    0.000   18.934    1.183 io.py:86(decode)
     1006    0.018    0.000   14.558    0.014 _io.py:16(imread)
     1006    0.006    0.000   14.394    0.014 manage_plugins.py:170(call_plugin)
     1006    0.007    0.000   14.387    0.014 imageio_plugin.py:9(imread)
     1006    0.010    0.000   14.356    0.014 v3.py:6(imread)
      978    0.019    0.000   13.658    0.014 ImageDatasetHelpers.py:69(bbpoint_warp)
     1006    0.005    0.000   13.225    0.013 pillow.py:151(read)
     1006    0.014    0.000   13.216    0.013 pillow.py:301(_apply_transforms)
      978   10.590    0.011   12.978    0.013 _warps.py:695(warp)
    13786    0.023    0.000   12.975    0.001 {built-in method numpy.asarray}
     1006    0.009    0.000   12.952    0.013 Image.py:732(__array_interface__)
     1006    0.025    0.000   12.931    0.013 Image.py:772(tobytes)
     7060   12.746    0.002   12.746    0.002 {method 'to' of 'torch._C._TensorBase' objects}
     2012    0.167    0.000   12.385    0.006 ImageFile.py:177(load)
     1004    0.013    0.000   11.787    0.012 blazeface_detector.py:46(detect_from_image)
     1004    0.060    0.000   11.767    0.012 detect.py:10(detect)
       16    0.011    0.001   10.966    0.685 DECA.py:938(decode)
   145920   10.867    0.000   10.867    0.000 {method 'decode' of 'ImagingDecoder' objects}
     1004    0.014    0.000    9.593    0.010 net_blazeface.py:238(predict_on_image)
     1004    0.037    0.000    9.532    0.009 net_blazeface.py:254(predict_on_batch)
      978    0.033    0.000    9.260    0.009 utils.py:185(get_preds_fromhm)
        1    0.000    0.000    8.561    8.561 dispatcher.py:388(_compile_for_args)
    116/1    0.003    0.000    8.542    8.542 dispatcher.py:915(compile)
     34/1    0.000    0.000    8.541    8.541 dispatcher.py:124(compile)
     34/1    0.000    0.000    8.541    8.541 dispatcher.py:131(_compile_cached)
     34/1    0.001    0.000    8.541    8.541 dispatcher.py:146(_compile_core)
     34/1    0.000    0.000    8.541    8.541 compiler.py:744(compile_extra)
18536/2280    0.091    0.000    8.439    0.004 container.py:137(forward)
 1720/273    0.005    0.000    8.049    0.029 compiler_lock.py:32(_acquire_compile_lock)
     46/1    0.000    0.000    8.010    8.010 compiler.py:455(compile_extra)
     46/1    0.000    0.000    8.009    8.009 compiler.py:524(_compile_bytecode)
     46/1    0.001    0.000    8.009    8.009 compiler.py:478(_compile_core)
