         56068148 function calls (55429905 primitive calls) in 189.374 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.067    0.067  189.387  189.387 test_emoca_on_video_copy.py:43(reconstruct_video)
        2    0.000    0.000   82.528   41.264 datamodule.py:393(wrapped_fn)
        1    0.000    0.000   82.065   82.065 FaceVideoDataModule.py:3208(prepare_data)
        1    0.000    0.000   81.861   81.861 FaceVideoDataModule.py:229(_detect_faces)
        1    0.009    0.009   81.861   81.861 FaceVideoDataModule.py:340(_detect_faces_in_sequence)
     1004    0.027    0.000   81.671    0.081 FaceDataModuleBase.py:201(_detect_faces_in_image_wrapper)
     1004    0.007    0.000   81.520    0.081 FaceVideoDataModule.py:3242(_detect_faces_in_image)
     1004    2.113    0.002   81.512    0.081 FaceDataModuleBase.py:134(_detect_faces_in_image)
      978    0.247    0.000   77.231    0.079 io.py:19(save_obj)
      978   16.525    0.017   69.670    0.071 DecaUtils.py:52(write_obj)
     1004    0.020    0.000   48.397    0.048 FaceDetector.py:91(run)
     1004    0.004    0.000   46.852    0.047 api.py:102(get_landmarks)
     1004    0.014    0.000   46.849    0.047 grad_mode.py:24(decorate_context)
     1004    0.148    0.000   46.806    0.047 api.py:116(get_landmarks_from_image)
19827746/19751619   42.252    0.000   42.523    0.000 {method 'format' of 'str' objects}
102898/2174   23.697    0.000   35.162    0.016 module.py:1124(_call_impl)
       16    0.166    0.010   20.228    1.264 io.py:77(test)
       16    0.001    0.000   18.674    1.167 io.py:86(decode)
     1006    0.018    0.000   14.571    0.014 _io.py:16(imread)
     1006    0.005    0.000   14.407    0.014 manage_plugins.py:170(call_plugin)
     1006    0.007    0.000   14.401    0.014 imageio_plugin.py:9(imread)
     1006    0.010    0.000   14.369    0.014 v3.py:6(imread)
      978    0.021    0.000   13.688    0.014 ImageDatasetHelpers.py:69(bbpoint_warp)
     1006    0.005    0.000   13.218    0.013 pillow.py:151(read)
     1006    0.015    0.000   13.209    0.013 pillow.py:301(_apply_transforms)
      978   10.617    0.011   12.993    0.013 _warps.py:695(warp)
    13786    0.022    0.000   12.957    0.001 {built-in method numpy.asarray}
     1006    0.009    0.000   12.935    0.013 Image.py:732(__array_interface__)
     1006    0.026    0.000   12.914    0.013 Image.py:772(tobytes)
     2012    0.165    0.000   12.368    0.006 ImageFile.py:177(load)
     7060   12.234    0.002   12.234    0.002 {method 'to' of 'torch._C._TensorBase' objects}
     1004    0.013    0.000   11.846    0.012 blazeface_detector.py:46(detect_from_image)
     1004    0.060    0.000   11.827    0.012 detect.py:10(detect)
   145920   10.854    0.000   10.854    0.000 {method 'decode' of 'ImagingDecoder' objects}
       16    0.012    0.001   10.672    0.667 DECA.py:938(decode)
     1004    0.012    0.000    9.661    0.010 net_blazeface.py:238(predict_on_image)
     1004    0.037    0.000    9.600    0.010 net_blazeface.py:254(predict_on_batch)
      978    0.034    0.000    9.304    0.010 utils.py:185(get_preds_fromhm)
18536/2280    0.091    0.000    8.624    0.004 container.py:137(forward)
        1    0.000    0.000    8.603    8.603 dispatcher.py:388(_compile_for_args)
    116/1    0.003    0.000    8.569    8.569 dispatcher.py:915(compile)
     34/1    0.000    0.000    8.567    8.567 dispatcher.py:124(compile)
     34/1    0.000    0.000    8.567    8.567 dispatcher.py:131(_compile_cached)
     34/1    0.001    0.000    8.567    8.567 dispatcher.py:146(_compile_core)
     34/1    0.000    0.000    8.565    8.565 compiler.py:744(compile_extra)
 1720/273    0.006    0.000    8.038    0.029 compiler_lock.py:32(_acquire_compile_lock)
       16    1.478    0.092    8.000    0.500 DECA.py:2592(_visualization_checkpoint)
     46/1    0.000    0.000    7.991    7.991 compiler.py:455(compile_extra)
     46/1    0.000    0.000    7.990    7.990 compiler.py:524(_compile_bytecode)
     46/1    0.001    0.000    7.990    7.990 compiler.py:478(_compile_core)
     46/1    0.005    0.000    7.989    7.989 compiler_machinery.py:342(run)
  1196/26    0.039    0.000    7.988    0.307 compiler_machinery.py:268(_runPass)
  3588/78    0.005    0.000    7.971    0.102 compiler_machinery.py:272(check)
     1004    0.030    0.000    7.628    0.008 net_blazeface.py:172(forward)
    39788    0.072    0.000    7.007    0.000 conv.py:456(forward)
    39788    0.049    0.000    6.903    0.000 conv.py:448(_conv_forward)
     1956    6.866    0.004    6.866    0.004 {imwrite}
    39788    6.855    0.000    6.855    0.000 {built-in method torch.conv2d}
    46/28    0.004    0.000    6.525    0.233 typed_passes.py:435(run_pass)
        1    0.000    0.000    6.333    6.333 load.py:159(load_model)
        1    0.000    0.000    6.200    6.200 load.py:32(load_deca)
        1    0.000    0.000    6.198    6.198 saving.py:52(load_from_checkpoint)
       16    0.002    0.000    6.076    0.380 DECA.py:3046(displacement2normal)
        1    0.000    0.000    5.850    5.850 saving.py:156(_load_model_state)
  802/236    0.001    0.000    5.731    0.024 context.py:189(resolve_function_type)
  802/236    0.003    0.000    5.729    0.024 context.py:233(_resolve_user_function_type)
     46/6    0.001    0.000    5.709    0.951 typed_passes.py:103(run_pass)
     46/6    0.001    0.000    5.708    0.951 typed_passes.py:66(type_inference_stage)
     46/6    0.000    0.000    5.691    0.949 typeinfer.py:1067(propagate)
    95/13    0.006    0.000    5.691    0.438 typeinfer.py:142(propagate)
  711/221    0.007    0.000    5.658    0.026 typeinfer.py:580(resolve)
  711/221    0.001    0.000    5.648    0.026 typeinfer.py:1519(resolve_call)
   115/14    0.001    0.000    5.633    0.402 functions.py:534(get_call_type)
   115/14    0.001    0.000    5.633    0.402 dispatcher.py:348(get_call_template)
        1    0.000    0.000    5.632    5.632 DECA.py:72(__init__)
        1    0.000    0.000    5.629    5.629 DECA.py:2728(__init__)
   347/82    0.003    0.000    5.592    0.068 typeinfer.py:570(__call__)
  775/343    0.020    0.000    5.070    0.015 functions.py:281(get_call_type)
3292/1436    0.007    0.000    5.005    0.003 templates.py:349(apply)
  623/182    0.002    0.000    4.950    0.027 templates.py:607(generic)
  623/182    0.003    0.000    4.943    0.027 templates.py:698(_get_impl)
    72/14    0.001    0.000    4.919    0.351 templates.py:749(_build_impl)
      128    0.044    0.000    4.525    0.035 DecaUtils.py:188(vertex_normals)
       64    0.001    0.000    4.338    0.068 Renderer.py:448(world2uv)
      983    0.027    0.000    4.250    0.004 npyio.py:263(load)
      984    0.011    0.000    4.154    0.004 format.py:730(read_array)
       32    0.010    0.000    3.963    0.124 Renderer.py:351(render_shape)
 1000/992    3.922    0.004    3.937    0.004 {built-in method _pickle.load}
      210    0.018    0.000    3.858    0.018 DecaUtils.py:167(face_vertices)
        1    0.000    0.000    3.770    3.770 DECA.py:2777(_reinitialize)
    21444    3.145    0.000    3.634    0.000 ffi.py:188(__call__)
        4    0.000    0.000    3.623    0.906 _utils.py:130(wrapper)
        4    0.000    0.000    3.623    0.906 _utils.py:171(inner_wrapper)
 19679846    3.405    0.000    3.405    0.000 {method 'write' of '_io.TextIOWrapper' objects}
    46/28    0.001    0.000    3.287    0.117 lowering.py:182(lower)
       47    0.001    0.000    3.245    0.069 codegen.py:739(finalize)
        1    0.000    0.000    3.223    3.223 DECA.py:3163(_create_model)
  275/168    0.000    0.000    3.220    0.019 codegen.py:565(_ensure_finalized)
38734/28938    0.790    0.000    3.158    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
       34    0.001    0.000    3.007    0.088 cpu.py:225(get_executable)
       34    0.000    0.000    2.997    0.088 codegen.py:975(get_pointer_to_function)
        3    0.000    0.000    2.975    0.992 DecaEncoder.py:77(__init__)
        3    0.000    0.000    2.975    0.992 DecaEncoder.py:36(__init__)
        3    0.000    0.000    2.927    0.976 DecaEncoder.py:89(_create_encoder)
        3    0.018    0.006    2.927    0.976 ResNet.py:175(load_ResNet50Model)
        2    0.000    0.000    2.907    1.453 FaceDetector.py:77(__init__)
        2    0.001    0.000    2.907    1.453 api.py:54(__init__)
    46/28    0.000    0.000    2.766    0.099 lowering.py:233(lower_normal_function)
    46/28    0.001    0.000    2.741    0.098 lowering.py:250(lower_function_body)
