         16247050 function calls (15615716 primitive calls) in 246.871 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.039    0.039  246.877  246.877 test_emoca_on_video_multi.py:70(reconstruct_video)
       16    0.010    0.001  157.664    9.854 test_emoca_on_video_multi.py:45(process_batch)
     1067    0.007    0.000  137.931    0.129 threading.py:270(wait)
     4372  137.924    0.032  137.924    0.032 {method 'acquire' of '_thread.lock' objects}
       89    0.001    0.000  137.921    1.550 threading.py:540(wait)
       16    0.004    0.000  137.859    8.616 _base.py:264(wait)
        2    0.000    0.000   81.699   40.850 datamodule.py:393(wrapped_fn)
        1    0.000    0.000   81.232   81.232 FaceVideoDataModule.py:3208(prepare_data)
        1    0.000    0.000   81.040   81.040 FaceVideoDataModule.py:229(_detect_faces)
        1    0.007    0.007   81.040   81.040 FaceVideoDataModule.py:340(_detect_faces_in_sequence)
     1004    0.030    0.000   80.851    0.081 FaceDataModuleBase.py:201(_detect_faces_in_image_wrapper)
     1004    0.006    0.000   80.654    0.080 FaceVideoDataModule.py:3242(_detect_faces_in_image)
     1004    2.110    0.002   80.648    0.080 FaceDataModuleBase.py:134(_detect_faces_in_image)
     1004    0.022    0.000   46.938    0.047 FaceDetector.py:91(run)
     1004    0.004    0.000   45.355    0.045 api.py:102(get_landmarks)
     1004    0.015    0.000   45.352    0.045 grad_mode.py:24(decorate_context)
     1004    0.152    0.000   45.308    0.045 api.py:116(get_landmarks_from_image)
102898/2174   22.043    0.000   32.979    0.015 module.py:1124(_call_impl)
       16    0.206    0.013   19.449    1.216 io.py:77(test)
       16    0.001    0.000   17.816    1.113 io.py:86(decode)
     1006    0.019    0.000   14.711    0.015 _io.py:16(imread)
     1006    0.006    0.000   14.543    0.014 manage_plugins.py:170(call_plugin)
     1006    0.009    0.000   14.536    0.014 imageio_plugin.py:9(imread)
     1006    0.011    0.000   14.503    0.014 v3.py:6(imread)
      978    0.022    0.000   14.129    0.014 ImageDatasetHelpers.py:69(bbpoint_warp)
      978   10.857    0.011   13.414    0.014 _warps.py:695(warp)
     1006    0.006    0.000   13.339    0.013 pillow.py:151(read)
     1006    0.014    0.000   13.329    0.013 pillow.py:301(_apply_transforms)
     7060   13.182    0.002   13.182    0.002 {method 'to' of 'torch._C._TensorBase' objects}
    13786    0.023    0.000   13.075    0.001 {built-in method numpy.asarray}
     1006    0.010    0.000   13.052    0.013 Image.py:732(__array_interface__)
     1006    0.027    0.000   13.029    0.013 Image.py:772(tobytes)
     2012    0.168    0.000   12.453    0.006 ImageFile.py:177(load)
     1004    0.013    0.000   11.321    0.011 blazeface_detector.py:46(detect_from_image)
     1004    0.060    0.000   11.301    0.011 detect.py:10(detect)
   145920   10.907    0.000   10.907    0.000 {method 'decode' of 'ImagingDecoder' objects}
       16    0.009    0.001   10.540    0.659 DECA.py:938(decode)
      978    0.036    0.000    9.151    0.009 utils.py:185(get_preds_fromhm)
     1004    0.014    0.000    9.101    0.009 net_blazeface.py:238(predict_on_image)
     1004    0.037    0.000    9.037    0.009 net_blazeface.py:254(predict_on_batch)
        1    0.000    0.000    8.435    8.435 dispatcher.py:388(_compile_for_args)
    116/1    0.002    0.000    8.408    8.408 dispatcher.py:915(compile)
     34/1    0.000    0.000    8.407    8.407 dispatcher.py:124(compile)
     34/1    0.000    0.000    8.407    8.407 dispatcher.py:131(_compile_cached)
     34/1    0.001    0.000    8.407    8.407 dispatcher.py:146(_compile_core)
     34/1    0.000    0.000    8.407    8.407 compiler.py:744(compile_extra)
18536/2280    0.090    0.000    8.254    0.004 container.py:137(forward)
 1720/273    0.005    0.000    8.025    0.029 compiler_lock.py:32(_acquire_compile_lock)
     46/1    0.000    0.000    7.983    7.983 compiler.py:455(compile_extra)
     46/1    0.000    0.000    7.982    7.982 compiler.py:524(_compile_bytecode)
     46/1    0.001    0.000    7.982    7.982 compiler.py:478(_compile_core)
     46/1    0.005    0.000    7.981    7.981 compiler_machinery.py:342(run)
  1196/26    0.038    0.000    7.980    0.307 compiler_machinery.py:268(_runPass)
  3588/78    0.005    0.000    7.964    0.102 compiler_machinery.py:272(check)
       16    1.478    0.092    7.275    0.455 DECA.py:2592(_visualization_checkpoint)
     1004    0.030    0.000    7.200    0.007 net_blazeface.py:172(forward)
    39788    0.076    0.000    6.695    0.000 conv.py:456(forward)
    39788    0.044    0.000    6.586    0.000 conv.py:448(_conv_forward)
    46/28    0.004    0.000    6.553    0.234 typed_passes.py:435(run_pass)
    39788    6.541    0.000    6.541    0.000 {built-in method torch.conv2d}
       16    0.002    0.000    6.050    0.378 DECA.py:3046(displacement2normal)
  802/236    0.001    0.000    5.687    0.024 context.py:189(resolve_function_type)
  802/236    0.004    0.000    5.685    0.024 context.py:233(_resolve_user_function_type)
     46/6    0.001    0.000    5.670    0.945 typed_passes.py:103(run_pass)
     46/6    0.001    0.000    5.670    0.945 typed_passes.py:66(type_inference_stage)
     46/6    0.000    0.000    5.654    0.942 typeinfer.py:1067(propagate)
    95/13    0.006    0.000    5.653    0.435 typeinfer.py:142(propagate)
  711/221    0.007    0.000    5.620    0.025 typeinfer.py:580(resolve)
  711/221    0.001    0.000    5.609    0.025 typeinfer.py:1519(resolve_call)
   115/14    0.001    0.000    5.573    0.398 functions.py:534(get_call_type)
   115/14    0.001    0.000    5.572    0.398 dispatcher.py:348(get_call_template)
   347/82    0.003    0.000    5.539    0.068 typeinfer.py:570(__call__)
        1    0.000    0.000    5.533    5.533 load.py:159(load_model)
        1    0.000    0.000    5.101    5.101 load.py:32(load_deca)
        1    0.000    0.000    5.100    5.100 saving.py:52(load_from_checkpoint)
  775/343    0.020    0.000    5.033    0.015 functions.py:281(get_call_type)
3292/1436    0.007    0.000    4.957    0.003 templates.py:349(apply)
  623/182    0.002    0.000    4.898    0.027 templates.py:607(generic)
  623/182    0.003    0.000    4.891    0.027 templates.py:698(_get_impl)
    72/14    0.001    0.000    4.865    0.348 templates.py:749(_build_impl)
        1    0.000    0.000    4.767    4.767 saving.py:156(_load_model_state)
        1    0.000    0.000    4.614    4.614 DECA.py:72(__init__)
        1    0.000    0.000    4.612    4.612 DECA.py:2728(__init__)
      128    0.035    0.000    4.460    0.035 DecaUtils.py:188(vertex_normals)
       64    0.002    0.000    4.286    0.067 Renderer.py:448(world2uv)
       32    0.009    0.000    3.895    0.122 Renderer.py:351(render_shape)
      210    0.016    0.000    3.871    0.018 DecaUtils.py:167(face_vertices)
    21444    3.250    0.000    3.736    0.000 ffi.py:188(__call__)
       47    0.001    0.000    3.347    0.071 codegen.py:739(finalize)
  275/168    0.000    0.000    3.322    0.020 codegen.py:565(_ensure_finalized)
38734/28938    0.603    0.000    3.145    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
       34    0.001    0.000    3.113    0.092 cpu.py:225(get_executable)
       34    0.000    0.000    3.105    0.091 codegen.py:975(get_pointer_to_function)
    46/28    0.001    0.000    3.064    0.109 lowering.py:182(lower)
        4    0.000    0.000    2.961    0.740 _utils.py:130(wrapper)
        4    0.000    0.000    2.961    0.740 _utils.py:171(inner_wrapper)
        2    0.000    0.000    2.907    1.454 FaceDetector.py:77(__init__)
        2    0.001    0.000    2.907    1.454 api.py:54(__init__)
        1    0.000    0.000    2.874    2.874 DECA.py:2777(_reinitialize)
    46/28    0.000    0.000    2.548    0.091 lowering.py:233(lower_normal_function)
    46/28    0.001    0.000    2.524    0.090 lowering.py:250(lower_function_body)
  162/104    0.008    0.000    2.522    0.024 lowering.py:275(lower_block)
        1    0.000    0.000    2.516    2.516 DECA.py:3163(_create_model)
2292/1615    0.014    0.000    2.500    0.002 lowering.py:457(lower_inst)
    16064    0.623    0.000    2.472    0.000 net_blazeface.py:32(forward)
     1004    0.002    0.000    2.443    0.002 FaceDataModuleBase.py:110(_instantiate_detector)
        3    0.000    0.000    2.285    0.762 DecaEncoder.py:77(__init__)
        3    0.000    0.000    2.285    0.762 DecaEncoder.py:36(__init__)
        3    0.000    0.000    2.247    0.749 DecaEncoder.py:89(_create_encoder)
