         16235904 function calls (15604546 primitive calls) in 193.677 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.340    0.340  193.680  193.680 test_emoca_on_video_queue.py:48(reconstruct_video)
        2    0.000    0.000   79.861   39.930 datamodule.py:393(wrapped_fn)
        1    0.000    0.000   79.519   79.519 FaceVideoDataModule.py:3208(prepare_data)
        1    0.000    0.000   79.316   79.316 FaceVideoDataModule.py:229(_detect_faces)
        1    0.005    0.005   79.316   79.316 FaceVideoDataModule.py:340(_detect_faces_in_sequence)
     1004    0.020    0.000   79.157    0.079 FaceDataModuleBase.py:201(_detect_faces_in_image_wrapper)
     1004    0.005    0.000   79.031    0.079 FaceVideoDataModule.py:3242(_detect_faces_in_image)
     1004    2.016    0.002   79.026    0.079 FaceDataModuleBase.py:134(_detect_faces_in_image)
     1026    0.008    0.000   51.680    0.050 std.py:1160(__iter__)
       42    0.001    0.000   51.660    1.230 selectors.py:402(select)
       42   51.659    1.230   51.659    1.230 {method 'poll' of 'select.poll' objects}
       30    0.002    0.000   51.634    1.721 connection.py:917(wait)
       17    0.002    0.000   51.080    3.005 dataloader.py:676(__next__)
       17    0.001    0.000   51.067    3.004 dataloader.py:1329(_next_data)
     1004    0.018    0.000   45.280    0.045 FaceDetector.py:91(run)
     1004    0.003    0.000   44.052    0.044 api.py:102(get_landmarks)
     1004    0.012    0.000   44.050    0.044 grad_mode.py:24(decorate_context)
     1004    0.120    0.000   44.014    0.044 api.py:116(get_landmarks_from_image)
       16    0.536    0.034   37.892    2.368 io.py:77(test)
102898/2174   20.974    0.000   37.576    0.017 module.py:1124(_call_impl)
       16    0.001    0.000   35.044    2.190 dataloader.py:1296(_get_data)
       22    0.007    0.000   35.044    1.593 dataloader.py:1150(_try_get_data)
       22    0.002    0.000   35.036    1.593 queues.py:92(get)
       22    0.000    0.000   34.877    1.585 connection.py:253(poll)
       22    0.000    0.000   34.876    1.585 connection.py:423(_poll)
       16    0.002    0.000   33.801    2.113 io.py:86(decode)
      136    0.001    0.000   19.872    0.146 process.py:142(join)
      136    0.001    0.000   19.871    0.146 popen_fork.py:40(wait)
       16    1.508    0.094   17.934    1.121 DECA.py:2592(_visualization_checkpoint)
        3    0.002    0.001   16.769    5.590 dataloader.py:1431(_shutdown_workers)
       16    0.020    0.001   15.864    0.991 DECA.py:938(decode)
     1006    0.016    0.000   14.814    0.015 _io.py:16(imread)
     1006    0.004    0.000   14.662    0.015 manage_plugins.py:170(call_plugin)
     1006    0.006    0.000   14.657    0.015 imageio_plugin.py:9(imread)
     1006    0.009    0.000   14.628    0.015 v3.py:6(imread)
      978    0.016    0.000   14.202    0.015 ImageDatasetHelpers.py:69(bbpoint_warp)
     7060   13.741    0.002   13.741    0.002 {method 'to' of 'torch._C._TensorBase' objects}
      978   11.574    0.012   13.574    0.014 _warps.py:695(warp)
     1006    0.005    0.000   13.498    0.013 pillow.py:151(read)
     1006    0.011    0.000   13.489    0.013 pillow.py:301(_apply_transforms)
    13786    0.019    0.000   13.300    0.001 {built-in method numpy.asarray}
     1006    0.009    0.000   13.281    0.013 Image.py:732(__array_interface__)
     1006    0.024    0.000   13.262    0.013 Image.py:772(tobytes)
     2012    0.173    0.000   12.757    0.006 ImageFile.py:177(load)
   145920   11.309    0.000   11.309    0.000 {method 'decode' of 'ImagingDecoder' objects}
     1004    0.011    0.000   10.866    0.011 blazeface_detector.py:46(detect_from_image)
