         18469628 function calls (17697675 primitive calls) in 179.841 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.533    0.533  179.846  179.846 test_emoca_on_video_queue.py:48(reconstruct_video)
        2    0.000    0.000   79.337   39.669 datamodule.py:393(wrapped_fn)
        1    0.000    0.000   78.909   78.909 FaceVideoDataModule.py:3208(prepare_data)
        1    0.000    0.000   78.712   78.712 FaceVideoDataModule.py:229(_detect_faces)
        1    0.006    0.006   78.712   78.712 FaceVideoDataModule.py:340(_detect_faces_in_sequence)
     1004    0.022    0.000   78.563    0.078 FaceDataModuleBase.py:201(_detect_faces_in_image_wrapper)
     1004    0.005    0.000   78.432    0.078 FaceVideoDataModule.py:3242(_detect_faces_in_image)
     1004    1.946    0.002   78.427    0.078 FaceDataModuleBase.py:134(_detect_faces_in_image)
      245    0.190    0.001   71.924    0.294 io.py:77(test)
239611/4922   22.369    0.000   68.777    0.014 module.py:1124(_call_impl)
      245    0.007    0.000   47.481    0.194 io.py:86(decode)
     1004    0.018    0.000   45.757    0.046 FaceDetector.py:91(run)
     1004    0.003    0.000   44.520    0.044 api.py:102(get_landmarks)
     1004    0.013    0.000   44.517    0.044 grad_mode.py:24(decorate_context)
     1004    0.125    0.000   44.479    0.044 api.py:116(get_landmarks_from_image)
      245    0.276    0.001   31.366    0.128 DECA.py:938(decode)
25177/6173    0.230    0.000   29.504    0.005 container.py:137(forward)
      245    0.013    0.000   23.955    0.098 DECA.py:469(encode)
      735    0.002    0.000   23.194    0.032 DecaEncoder.py:59(forward)
      735    0.002    0.000   22.582    0.031 DecaEncoder.py:50(forward_features)
      735    0.024    0.000   22.575    0.031 ResNet.py:66(forward)
    11760    1.591    0.000   21.020    0.002 ResNet.py:100(forward)
     1960    0.400    0.000   17.543    0.009 DecaUtils.py:188(vertex_normals)
    12117   16.132    0.001   16.132    0.001 {built-in method torch.zeros}
      245    1.515    0.006   16.098    0.066 DECA.py:2592(_visualization_checkpoint)
    77573    0.356    0.000   15.104    0.000 conv.py:456(forward)
    16907   14.972    0.001   14.972    0.001 {method 'to' of 'torch._C._TensorBase' objects}
     1006    0.016    0.000   14.509    0.014 _io.py:16(imread)
    77573    0.284    0.000   14.464    0.000 conv.py:448(_conv_forward)
     1006    0.004    0.000   14.357    0.014 manage_plugins.py:170(call_plugin)
     1006    0.006    0.000   14.352    0.014 imageio_plugin.py:9(imread)
     1006    0.010    0.000   14.323    0.014 v3.py:6(imread)
    77573   14.180    0.000   14.180    0.000 {built-in method torch.conv2d}
      245    0.006    0.000   14.031    0.057 DECA.py:370(_encode_flame)
      978    0.017    0.000   13.554    0.014 ImageDatasetHelpers.py:69(bbpoint_warp)
      245    0.002    0.000   13.418    0.055 DECA.py:3204(_encode_flame)
      245    0.031    0.000   13.372    0.055 DECA.py:3046(displacement2normal)
     1006    0.005    0.000   13.210    0.013 pillow.py:151(read)
     1006    0.012    0.000   13.201    0.013 pillow.py:301(_apply_transforms)
    13786    0.019    0.000   13.005    0.001 {built-in method numpy.asarray}
     1006    0.007    0.000   12.986    0.013 Image.py:732(__array_interface__)
     1006    0.024    0.000   12.967    0.013 Image.py:772(tobytes)
      978   10.856    0.011   12.922    0.013 _warps.py:695(warp)
     2012    0.169    0.000   12.469    0.006 ImageFile.py:177(load)
      980    0.017    0.000   11.792    0.012 Renderer.py:448(world2uv)
   145920   11.063    0.000   11.063    0.000 {method 'decode' of 'ImagingDecoder' objects}
     1004    0.012    0.000   10.999    0.011 blazeface_detector.py:46(detect_from_image)
     1004    0.054    0.000   10.981    0.011 detect.py:10(detect)
      490    0.167    0.000    9.924    0.020 Renderer.py:351(render_shape)
      978    0.028    0.000    9.631    0.010 utils.py:185(get_preds_fromhm)
      245    0.131    0.001    8.976    0.037 Renderer.py:217(forward)
        1    0.000    0.000    8.953    8.953 dispatcher.py:388(_compile_for_args)
    116/1    0.003    0.000    8.923    8.923 dispatcher.py:915(compile)
     34/1    0.000    0.000    8.921    8.921 dispatcher.py:124(compile)
     34/1    0.000    0.000    8.921    8.921 dispatcher.py:131(_compile_cached)
     34/1    0.001    0.000    8.921    8.921 dispatcher.py:146(_compile_core)
     34/1    0.000    0.000    8.921    8.921 compiler.py:744(compile_extra)
     1004    0.012    0.000    8.737    0.009 net_blazeface.py:238(predict_on_image)
     3187    0.372    0.000    8.695    0.003 DecaUtils.py:167(face_vertices)
     1004    0.034    0.000    8.684    0.009 net_blazeface.py:254(predict_on_batch)
 1720/273    0.006    0.000    8.387    0.031 compiler_lock.py:32(_acquire_compile_lock)
     46/1    0.001    0.000    8.344    8.344 compiler.py:455(compile_extra)
     46/1    0.000    0.000    8.343    8.343 compiler.py:524(_compile_bytecode)
     46/1    0.001    0.000    8.343    8.343 compiler.py:478(_compile_core)
     46/1    0.005    0.000    8.342    8.342 compiler_machinery.py:342(run)
  1196/26    0.042    0.000    8.341    0.321 compiler_machinery.py:268(_runPass)
  3588/78    0.005    0.000    8.324    0.107 compiler_machinery.py:272(check)
     1255    0.016    0.000    8.187    0.007 std.py:1160(__iter__)
      981    0.004    0.000    7.466    0.008 pathlib.py:1281(mkdir)
      991    7.144    0.007    7.148    0.007 {built-in method posix.mkdir}
      246    0.004    0.000    7.096    0.029 dataloader.py:676(__next__)
    40425    0.916    0.000    6.975    0.000 batchnorm.py:134(forward)
     1004    0.029    0.000    6.974    0.007 net_blazeface.py:172(forward)
      246    0.004    0.000    6.945    0.028 dataloader.py:1329(_next_data)
    46/28    0.004    0.000    6.852    0.245 typed_passes.py:435(run_pass)
  802/236    0.001    0.000    6.023    0.026 context.py:189(resolve_function_type)
  802/236    0.004    0.000    6.022    0.026 context.py:233(_resolve_user_function_type)
     46/6    0.001    0.000    6.005    1.001 typed_passes.py:103(run_pass)
     46/6    0.001    0.000    6.005    1.001 typed_passes.py:66(type_inference_stage)
     46/6    0.001    0.000    5.988    0.998 typeinfer.py:1067(propagate)
    95/13    0.006    0.000    5.987    0.461 typeinfer.py:142(propagate)
  711/221    0.008    0.000    5.954    0.027 typeinfer.py:580(resolve)
  711/221    0.001    0.000    5.944    0.027 typeinfer.py:1519(resolve_call)
   115/14    0.001    0.000    5.926    0.423 functions.py:534(get_call_type)
   115/14    0.001    0.000    5.926    0.423 dispatcher.py:348(get_call_template)
