         52420635 function calls (51968309 primitive calls) in 259.210 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.030    0.030  259.215  259.215 test_emoca_on_video_asyncio.py:43(reconstruct_video)
       16    0.030    0.002  161.681   10.105 io.py:77(test)
       16    0.000    0.000  156.788    9.799 io.py:86(decode)
45674/2178   11.485    0.000  141.220    0.065 module.py:1124(_call_impl)
       16    0.012    0.001  137.184    8.574 DECA.py:938(decode)
       16    0.000    0.000   96.910    6.057 DecaFLAME.py:285(forward)
       16    0.001    0.000   96.909    6.057 DecaFLAME.py:222(forward)
       16    0.001    0.000   96.895    6.056 lbs.py:142(lbs)
       16   96.880    6.055   96.885    6.055 lbs.py:326(batch_rigid_transform)
        2    0.000    0.000   64.062   32.031 datamodule.py:393(wrapped_fn)
        1    0.000    0.000   63.687   63.687 FaceVideoDataModule.py:3208(prepare_data)
        1    0.000    0.000   63.648   63.648 FaceVideoDataModule.py:229(_detect_faces)
        1    0.012    0.012   63.648   63.648 FaceVideoDataModule.py:340(_detect_faces_in_sequence)
     1004    0.020    0.000   63.566    0.063 FaceDataModuleBase.py:201(_detect_faces_in_image_wrapper)
     1004    0.005    0.000   63.472    0.063 FaceVideoDataModule.py:3242(_detect_faces_in_image)
     1004    0.956    0.001   63.468    0.063 FaceDataModuleBase.py:134(_detect_faces_in_image)
     1004    0.018    0.000   50.755    0.051 FaceDetector.py:91(run)
     1004    0.003    0.000   49.688    0.049 api.py:98(get_landmarks)
     1004    0.007    0.000   49.686    0.049 grad_mode.py:24(decorate_context)
     1004    0.089    0.000   49.661    0.049 api.py:112(get_landmarks_from_image)
     6068   44.230    0.007   44.231    0.007 {method 'to' of 'torch._C._TensorBase' objects}
     1004    0.006    0.000   32.105    0.032 sfd_detector.py:42(detect_from_image)
     1004    0.015    0.000   31.949    0.032 detect.py:10(detect)
     1004    0.068    0.000   30.602    0.030 detect.py:20(batch_detect)
      982    0.148    0.000   29.905    0.030 io.py:19(save_obj)
    33764    0.042    0.000   27.399    0.001 conv.py:456(forward)
    33764    0.032    0.000   27.334    0.001 conv.py:448(_conv_forward)
    33764   27.302    0.001   27.302    0.001 {built-in method torch.conv2d}
      982    6.458    0.007   26.376    0.027 DecaUtils.py:52(write_obj)
      210    0.022    0.000   23.705    0.113 DecaUtils.py:167(face_vertices)
       64    0.001    0.000   22.279    0.348 Renderer.py:448(world2uv)
       16    6.003    0.375   19.603    1.225 DECA.py:2592(_visualization_checkpoint)
       16    0.001    0.000   19.310    1.207 DECA.py:3046(displacement2normal)
    18954   16.295    0.001   16.295    0.001 {method 'cpu' of 'torch._C._TensorBase' objects}
     1004    0.108    0.000   16.060    0.016 net_s3fd.py:68(forward)
19901185/19825676   15.536    0.000   15.642    0.000 {method 'format' of 'str' objects}
       32    0.008    0.000   12.854    0.402 Renderer.py:351(render_shape)
     1004    0.020    0.000   12.463    0.012 detect.py:41(<listcomp>)
  464/272    0.002    0.000   11.490    0.042 container.py:137(forward)
      128    0.027    0.000    8.982    0.070 DecaUtils.py:188(vertex_normals)
       16    0.000    0.000    7.638    0.477 DecaDecoder.py:60(forward)
     1006    0.011    0.000    5.488    0.005 _io.py:16(imread)
     1006    0.004    0.000    5.399    0.005 manage_plugins.py:171(call_plugin)
     1006    0.007    0.000    5.395    0.005 imageio_plugin.py:8(imread)
     1006    0.004    0.000    5.386    0.005 functions.py:237(imread)
      982    0.012    0.000    5.086    0.005 ImageDatasetHelpers.py:69(bbpoint_warp)
     1006    0.004    0.000    5.042    0.005 functions.py:148(get_reader)
     1006    0.002    0.000    4.905    0.005 format.py:157(get_reader)
     1006    0.004    0.000    4.903    0.005 format.py:215(__init__)
     1006    0.002    0.000    4.898    0.005 pillow.py:297(_open)
     1006    0.009    0.000    4.897    0.005 pillow.py:118(_open)
     1006    0.002    0.000    4.811    0.005 pillow.py:666(pil_try_read)
     2012    0.002    0.000    4.810    0.002 Image.py:1264(getdata)
     3020    0.075    0.000    4.808    0.002 ImageFile.py:154(load)
      982    3.843    0.004    4.777    0.005 _warps.py:735(warp)
       16    0.001    0.000    4.752    0.297 DECA.py:469(encode)
       48    0.000    0.000    4.743    0.099 DecaEncoder.py:59(forward)
       48    0.000    0.000    4.737    0.099 DecaEncoder.py:50(forward_features)
       48    0.001    0.000    4.737    0.099 ResNet.py:66(forward)
       16    0.001    0.000    4.261    0.266 DECA.py:370(_encode_flame)
       16    0.000    0.000    4.255    0.266 DECA.py:3204(_encode_flame)
   145920    4.255    0.000    4.255    0.000 {method 'decode' of 'ImagingDecoder' objects}
       16    0.000    0.000    4.190    0.262 DECA.py:3028(_encode_flame)
      768    0.013    0.000    3.844    0.005 ResNet.py:100(forward)
      112    0.023    0.000    3.178    0.028 Renderer.py:141(forward)
     1964    2.960    0.002    2.960    0.002 {imwrite}
        1    0.000    0.000    2.474    2.474 load.py:159(load_model)
        1    0.001    0.001    2.422    2.422 load.py:32(load_deca)
        1    0.000    0.000    2.421    2.421 saving.py:52(load_from_checkpoint)
      982    0.022    0.000    2.392    0.002 utils.py:185(get_preds_fromhm)
        1    0.000    0.000    2.196    2.196 saving.py:156(_load_model_state)
        1    0.000    0.000    2.084    2.084 DECA.py:72(__init__)
        1    0.000    0.000    2.083    2.083 DECA.py:2728(__init__)
       16    0.002    0.000    2.046    0.128 Renderer.py:217(forward)
        1    0.000    0.000    1.993    1.993 dispatcher.py:340(_compile_for_args)
     38/1    0.000    0.000    1.986    1.986 dispatcher.py:864(compile)
     12/1    0.000    0.000    1.986    1.986 dispatcher.py:78(compile)
     12/1    0.000    0.000    1.986    1.986 dispatcher.py:85(_compile_cached)
     12/1    0.000    0.000    1.986    1.986 dispatcher.py:100(_compile_core)
     12/1    0.000    0.000    1.986    1.986 compiler.py:580(compile_extra)
     24/1    0.000    0.000    1.953    1.953 compiler.py:347(compile_extra)
     24/1    0.000    0.000    1.952    1.952 compiler.py:410(_compile_bytecode)
     24/1    0.000    0.000    1.952    1.952 compiler.py:370(_compile_core)
     24/1    0.001    0.000    1.952    1.952 compiler_machinery.py:316(run)
   528/22    0.001    0.000    1.952    0.089 compiler_lock.py:32(_acquire_compile_lock)
   528/22    0.003    0.000    1.952    0.089 compiler_machinery.py:257(_runPass)
  1584/66    0.001    0.000    1.951    0.030 compiler_machinery.py:261(check)
      112    1.749    0.016    1.784    0.016 meshes.py:215(__init__)
    24/12    0.000    0.000    1.614    0.134 typed_passes.py:451(run_pass)
    24/12    0.001    0.000    1.611    0.134 typed_passes.py:360(run_pass)
      985    0.015    0.000    1.473    0.001 npyio.py:272(load)
        2    0.000    0.000    1.442    0.721 FaceDetector.py:77(__init__)
        2    0.000    0.000    1.442    0.721 api.py:52(__init__)
      986    0.006    0.000    1.421    0.001 format.py:698(read_array)
     24/5    0.000    0.000    1.362    0.272 typed_passes.py:97(run_pass)
     24/5    0.000    0.000    1.362    0.272 typed_passes.py:61(type_inference_stage)
     24/5    0.000    0.000    1.356    0.271 typeinfer.py:1052(propagate)
    51/11    0.002    0.000    1.355    0.123 typeinfer.py:141(propagate)
      112    0.006    0.000    1.342    0.012 rasterize_meshes.py:29(rasterize_meshes)
