         12652241 function calls (12197605 primitive calls) in 142.911 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.008    0.008  142.914  142.914 test_emoca_on_video_asyncio.py:52(reconstruct_video)
        2    0.000    0.000   74.831   37.416 datamodule.py:393(wrapped_fn)
        1    0.000    0.000   74.524   74.524 FaceVideoDataModule.py:3208(prepare_data)
        1    0.000    0.000   69.997   69.997 FaceVideoDataModule.py:229(_detect_faces)
        1    0.010    0.010   69.997   69.997 FaceVideoDataModule.py:340(_detect_faces_in_sequence)
     1004    0.016    0.000   69.887    0.070 FaceDataModuleBase.py:201(_detect_faces_in_image_wrapper)
     1004    0.004    0.000   69.795    0.070 FaceVideoDataModule.py:3242(_detect_faces_in_image)
     1004    0.810    0.001   69.791    0.070 FaceDataModuleBase.py:134(_detect_faces_in_image)
54629/2358   11.592    0.000   49.543    0.021 module.py:1124(_call_impl)
       31    0.036    0.001   45.258    1.460 io.py:77(test)
     1004    0.016    0.000   41.958    0.042 FaceDetector.py:91(run)
     1004    0.002    0.000   40.930    0.041 api.py:98(get_landmarks)
     1004    0.007    0.000   40.928    0.041 grad_mode.py:24(decorate_context)
     1004    0.080    0.000   40.903    0.041 api.py:112(get_landmarks_from_image)
       31    0.001    0.000   33.451    1.079 io.py:86(decode)
     1004    0.005    0.000   23.713    0.024 sfd_detector.py:42(detect_from_image)
     1004    0.016    0.000   23.562    0.023 detect.py:10(detect)
     1004    0.060    0.000   22.135    0.022 detect.py:20(batch_detect)
       31    0.216    0.007   20.917    0.675 DECA.py:938(decode)
     1006    0.012    0.000   20.866    0.021 _io.py:16(imread)
     1006    0.003    0.000   17.128    0.017 manage_plugins.py:171(call_plugin)
     1006    0.008    0.000   17.124    0.017 imageio_plugin.py:8(imread)
     1006    0.004    0.000   17.113    0.017 functions.py:237(imread)
  988/986    0.001    0.000   16.550    0.017 pathlib.py:1281(mkdir)
      996   16.544    0.017   16.549    0.017 {built-in method posix.mkdir}
     1006    0.005    0.000   16.419    0.016 functions.py:148(get_reader)
      217    0.909    0.004   16.292    0.075 Renderer.py:141(forward)
    13092   15.438    0.001   15.438    0.001 {method 'cpu' of 'torch._C._TensorBase' objects}
     1006    0.003    0.000   13.539    0.013 format.py:157(get_reader)
     1006    0.005    0.000   13.535    0.013 format.py:215(__init__)
     1006    0.002    0.000   13.529    0.013 pillow.py:297(_open)
     1006    0.011    0.000   13.528    0.013 pillow.py:118(_open)
     1006    0.002    0.000   13.435    0.013 pillow.py:666(pil_try_read)
     2012    0.002    0.000   13.434    0.007 Image.py:1264(getdata)
     3020    0.239    0.000   13.433    0.004 ImageFile.py:154(load)
      124    0.003    0.000   13.300    0.107 Renderer.py:448(world2uv)
      217    0.065    0.000   13.096    0.060 rasterize_meshes.py:29(rasterize_meshes)
      651    0.168    0.000   12.931    0.020 meshes.py:957(_compute_packed)
      217    0.001    0.000   12.931    0.060 meshes.py:554(verts_packed)
     1004    0.019    0.000   12.865    0.013 detect.py:41(<listcomp>)
       31    0.770    0.025   12.532    0.404 DECA.py:2592(_visualization_checkpoint)
  899/527    0.010    0.000   12.181    0.023 container.py:137(forward)
      434    8.323    0.019   12.144    0.028 utils.py:117(list_to_packed)
    36239    0.041    0.000   11.850    0.000 conv.py:456(forward)
    36239    0.031    0.000   11.786    0.000 conv.py:448(_conv_forward)
    36239   11.754    0.000   11.754    0.000 {built-in method torch.conv2d}
       31    0.002    0.000   11.628    0.375 DECA.py:469(encode)
       93    0.000    0.000   11.576    0.124 DecaEncoder.py:59(forward)
       93    0.000    0.000   11.459    0.123 DecaEncoder.py:50(forward_features)
       93    0.003    0.000   11.458    0.123 ResNet.py:66(forward)
     1488    0.855    0.001   10.996    0.007 ResNet.py:100(forward)
       31    0.001    0.000    9.620    0.310 DECA.py:370(_encode_flame)
       31    0.000    0.000    9.600    0.310 DECA.py:3204(_encode_flame)
   145920    0.258    0.000    8.551    0.000 PngImagePlugin.py:888(load_read)
       31    0.106    0.003    8.377    0.270 DECA.py:3046(displacement2normal)
   453093    7.947    0.000    7.947    0.000 {method 'read' of '_io.BufferedReader' objects}
     6713    7.753    0.001    7.754    0.001 {method 'to' of 'torch._C._TensorBase' objects}
     1004    0.088    0.000    7.192    0.007 net_s3fd.py:68(forward)
       31    0.000    0.000    6.803    0.219 DECA.py:3028(_encode_flame)
       62    0.202    0.003    6.525    0.105 Renderer.py:351(render_shape)
