         833757494 function calls (832735788 primitive calls) in 1465.949 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.242    0.242 1465.957 1465.957 test_emoca_on_video_copy.py:41(reconstruct_video)
    26534    0.107    0.000  610.893    0.023 manage_plugins.py:171(call_plugin)
     9650    0.101    0.000  549.209    0.057 _io.py:101(imsave)
     9650    0.066    0.000  543.134    0.056 functions.py:270(imwrite)
   554401  541.193    0.001  541.193    0.001 {method 'encode' of 'ImagingEncoder' objects}
     9650    0.031    0.000  541.155    0.056 format.py:477(append_data)
     9650    0.074    0.000  541.099    0.056 pillow.py:359(_append_data)
     9650    0.064    0.000  540.851    0.056 pillow.py:202(_append_data)
     9650    0.071    0.000  538.394    0.056 Image.py:2087(save)
     9650    0.097    0.000  538.244    0.056 PngImagePlugin.py:1178(_save)
     9650    0.098    0.000  537.999    0.056 ImageFile.py:488(_save)
     1930    0.478    0.000  439.333    0.228 io.py:19(save_obj)
     1930    0.312    0.000  439.074    0.227 io.py:49(save_images)
     3860  116.382    0.030  417.487    0.108 DecaUtils.py:52(write_obj)
        2    0.000    0.000  367.107  183.554 datamodule.py:393(wrapped_fn)
        1    0.000    0.000  366.761  366.761 FaceVideoDataModule.py:3181(prepare_data)
        1    0.001    0.001  358.846  358.846 FaceVideoDataModule.py:227(_detect_faces)
        1    0.046    0.046  358.845  358.845 FaceVideoDataModule.py:338(_detect_faces_in_sequence)
     5546    0.128    0.000  358.291    0.065 FaceDataModuleBase.py:201(_detect_faces_in_image_wrapper)
380031238/379955729  272.016    0.000  272.141    0.000 {method 'format' of 'str' objects}
     5546    0.026    0.000  242.342    0.044 FaceVideoDataModule.py:3215(_detect_faces_in_image)
     5546    4.826    0.001  242.315    0.044 FaceDataModuleBase.py:134(_detect_faces_in_image)
     5546    0.074    0.000  193.269    0.035 FaceDetector.py:91(run)
     5546    0.012    0.000  184.815    0.033 api.py:98(get_landmarks)
     5546    0.031    0.000  184.803    0.033 grad_mode.py:24(decorate_context)
     5546    0.223    0.000  184.678    0.033 api.py:112(get_landmarks_from_image)
        1    2.431    2.431  147.575  147.575 FaceVideoDataModule.py:1718(create_reconstruction_video)
     5546    0.036    0.000  145.376    0.026 sfd_detector.py:42(detect_from_image)
     5546    0.099    0.000  142.592    0.026 detect.py:10(detect)
     5546    0.436    0.000  133.980    0.024 detect.py:20(batch_detect)
484391/13272   26.792    0.000  101.129    0.008 module.py:1124(_call_impl)
    92608   88.129    0.001   88.129    0.001 {method 'cpu' of 'torch._C._TensorBase' objects}
     5546    0.123    0.000   73.540    0.013 detect.py:41(<listcomp>)
     5790    0.058    0.000   71.081    0.012 ImageDatasetHelpers.py:69(bbpoint_warp)
     5790   61.440    0.011   69.323    0.012 _warps.py:735(warp)
    16884    0.170    0.000   69.209    0.004 _io.py:16(imread)
    16884    0.089    0.000   67.639    0.004 imageio_plugin.py:8(imread)
    16884    0.056    0.000   67.526    0.004 functions.py:237(imread)
      483    0.069    0.000   66.865    0.138 io.py:77(test)
    16884    0.050    0.000   63.010    0.004 functions.py:148(get_reader)
    26534    0.089    0.000   61.525    0.002 format.py:215(__init__)
    16884    0.031    0.000   60.883    0.004 format.py:157(get_reader)
    16884    0.019    0.000   60.788    0.004 pillow.py:297(_open)
    16884    0.114    0.000   60.769    0.004 pillow.py:118(_open)
      483    0.008    0.000   60.328    0.125 io.py:86(decode)
    16884    0.028    0.000   59.650    0.004 pillow.py:666(pil_try_read)
    33768    0.030    0.000   59.644    0.002 Image.py:1264(getdata)
    50654    0.914    0.000   59.627    0.001 ImageFile.py:154(load)
  1819096   54.634    0.000   54.634    0.000 {method 'decode' of 'ImagingDecoder' objects}
      483    0.107    0.000   42.402    0.088 DECA.py:938(decode)
     5546    0.638    0.000   39.630    0.007 net_s3fd.py:68(forward)
   251621    0.280    0.000   39.224    0.000 conv.py:456(forward)
   251621    0.230    0.000   38.783    0.000 conv.py:448(_conv_forward)
   251621   38.553    0.000   38.553    0.000 {built-in method torch.conv2d}
    36181   32.653    0.001   32.653    0.001 {method 'to' of 'torch._C._TensorBase' objects}
     5546   27.888    0.005   27.888    0.005 {method 'write' of 'cv2.VideoWriter' objects}
379860902   23.061    0.000   23.061    0.000 {method 'write' of '_io.TextIOWrapper' objects}
      483    4.011    0.008   17.910    0.037 DECA.py:2592(_visualization_checkpoint)
1259062/1131199    5.369    0.000   15.889    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     1932    0.018    0.000   15.322    0.008 Renderer.py:448(world2uv)
      483    0.023    0.000   14.956    0.031 DECA.py:3046(displacement2normal)
      483    0.007    0.000   14.215    0.029 DecaFLAME.py:285(forward)
      483    0.024    0.000   14.175    0.029 DecaFLAME.py:222(forward)
      483    0.028    0.000   13.804    0.029 lbs.py:142(lbs)
      483   13.454    0.028   13.547    0.028 lbs.py:326(batch_rigid_transform)
     3381    0.304    0.000   12.574    0.004 Renderer.py:141(forward)
      966    0.118    0.000   12.140    0.013 Renderer.py:351(render_shape)
     1930   10.236    0.005   12.115    0.006 DecaUtils.py:14(upsample_mesh)
     3864    0.422    0.000   10.422    0.003 DecaUtils.py:188(vertex_normals)
     6281    0.222    0.000    9.492    0.002 DecaUtils.py:167(face_vertices)
   862210    3.144    0.000    9.387    0.000 {built-in method numpy.array}
     5546    3.208    0.001    9.231    0.002 detect.py:47(get_predictions)
     3381    0.105    0.000    8.841    0.003 rasterize_meshes.py:29(rasterize_meshes)
    10143    0.604    0.000    8.469    0.001 meshes.py:957(_compute_packed)
     3381    0.008    0.000    8.463    0.003 meshes.py:554(verts_packed)
    11092    0.033    0.000    8.348    0.001 memory.py:109(empty_cache)
    11092    8.292    0.001    8.292    0.001 {built-in method torch._C._cuda_emptyCache}
        1    0.000    0.000    7.767    7.767 FaceVideoDataModule.py:155(_unpack_videos)
        1    0.001    0.001    7.766    7.766 FaceVideoDataModule.py:172(_unpack_video)
        2    7.751    3.876    7.751    3.876 {built-in method posix.system}
