         410628875 function calls (409984089 primitive calls) in 620.612 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.102    0.102  620.618  620.618 test_emoca_on_video_copy.py:41(reconstruct_video)
     7902    0.025    0.000  248.267    0.031 manage_plugins.py:171(call_plugin)
      982    0.111    0.000  240.871    0.245 io.py:49(save_images)
     3928    0.028    0.000  238.403    0.061 _io.py:101(imsave)
     3928    0.018    0.000  236.248    0.060 functions.py:270(imwrite)
     3928    0.008    0.000  235.683    0.060 format.py:477(append_data)
     3928    0.025    0.000  235.667    0.060 pillow.py:359(_append_data)
     3928    0.019    0.000  235.585    0.060 pillow.py:202(_append_data)
   105208  234.880    0.002  234.880    0.002 {method 'encode' of 'ImagingEncoder' objects}
     3928    0.021    0.000  234.495    0.060 Image.py:2087(save)
     3928    0.032    0.000  234.449    0.060 PngImagePlugin.py:1178(_save)
     3928    0.033    0.000  234.367    0.060 ImageFile.py:488(_save)
      982    0.195    0.000  213.412    0.217 io.py:19(save_obj)
     1964   56.635    0.029  203.288    0.104 DecaUtils.py:52(write_obj)
193428839/193353330  133.141    0.000  133.242    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000   57.550   57.550 datamodule.py:393(wrapped_fn)
        1    0.000    0.000   57.550   57.550 FaceVideoDataModule.py:3208(prepare_data)
      246    0.031    0.000   57.441    0.233 io.py:77(test)
        1    0.000    0.000   56.036   56.036 FaceVideoDataModule.py:229(_detect_faces)
        1    0.010    0.010   56.036   56.036 FaceVideoDataModule.py:340(_detect_faces_in_sequence)
     1004    0.017    0.000   55.958    0.056 FaceDataModuleBase.py:201(_detect_faces_in_image_wrapper)
     1004    0.004    0.000   55.887    0.056 FaceVideoDataModule.py:3243(_detect_faces_in_image)
     1004    0.808    0.001   55.883    0.056 FaceDataModuleBase.py:134(_detect_faces_in_image)
      246    0.004    0.000   53.393    0.217 io.py:86(decode)
182984/4938   14.153    0.000   48.259    0.010 module.py:1124(_call_impl)
        1    1.129    1.129   47.808   47.808 FaceVideoDataModule.py:1720(create_reconstruction_video)
     1004    0.016    0.000   43.510    0.043 FaceDetector.py:91(run)
      246    0.051    0.000   43.137    0.175 DECA.py:938(decode)
     1004    0.002    0.000   42.478    0.042 api.py:98(get_landmarks)
     1004    0.007    0.000   42.476    0.042 grad_mode.py:24(decorate_context)
     1004    0.080    0.000   42.454    0.042 api.py:112(get_landmarks_from_image)
     2946    0.023    0.000   35.196    0.012 ImageDatasetHelpers.py:69(bbpoint_warp)
     2946   30.593    0.010   34.384    0.012 _warps.py:735(warp)
    15958   29.786    0.002   29.786    0.002 {method 'to' of 'torch._C._TensorBase' objects}
     1004    0.005    0.000   23.930    0.024 sfd_detector.py:42(detect_from_image)
     1004    0.013    0.000   23.780    0.024 detect.py:10(detect)
     1004    0.063    0.000   22.449    0.022 detect.py:20(batch_detect)
      246    0.011    0.000   18.170    0.074 DECA.py:3046(displacement2normal)
      246    0.003    0.000   16.816    0.068 DecaFLAME.py:285(forward)
      246    0.012    0.000   16.797    0.068 DecaFLAME.py:222(forward)
    25306   16.770    0.001   16.770    0.001 {method 'cpu' of 'torch._C._TensorBase' objects}
      246    0.015    0.000   16.618    0.068 lbs.py:142(lbs)
      246   16.436    0.067   16.490    0.067 lbs.py:326(batch_rigid_transform)
      984    0.009    0.000   14.939    0.015 Renderer.py:448(world2uv)
     3200    0.110    0.000   13.091    0.004 DecaUtils.py:167(face_vertices)
     3974    0.035    0.000   12.348    0.003 _io.py:16(imread)
     3974    0.017    0.000   11.990    0.003 imageio_plugin.py:8(imread)
     3974    0.012    0.000   11.968    0.003 functions.py:237(imread)
     1004    0.019    0.000   11.966    0.012 detect.py:41(<listcomp>)
     3974    0.012    0.000   11.137    0.003 functions.py:148(get_reader)
     7902    0.020    0.000   10.766    0.001 format.py:215(__init__)
193275250   10.628    0.000   10.628    0.000 {method 'write' of '_io.TextIOWrapper' objects}
     3974    0.006    0.000   10.619    0.003 format.py:157(get_reader)
     3974    0.004    0.000   10.599    0.003 pillow.py:297(_open)
     3974    0.024    0.000   10.595    0.003 pillow.py:118(_open)
     3974    0.005    0.000   10.358    0.003 pillow.py:666(pil_try_read)
     7948    0.007    0.000   10.358    0.001 Image.py:1264(getdata)
    11924    0.159    0.000   10.354    0.001 ImageFile.py:154(load)
      246    2.191    0.009   10.249    0.042 DECA.py:2592(_visualization_checkpoint)
    71714    0.068    0.000   10.233    0.000 conv.py:456(forward)
    71714    0.053    0.000   10.122    0.000 conv.py:448(_conv_forward)
     1968    0.192    0.000   10.101    0.005 DecaUtils.py:188(vertex_normals)
    71714   10.069    0.000   10.069    0.000 {built-in method torch.conv2d}
   301723    9.604    0.000    9.604    0.000 {method 'decode' of 'ImagingDecoder' objects}
     1004    0.108    0.000    8.421    0.008 net_s3fd.py:68(forward)
      492    0.062    0.000    7.252    0.015 Renderer.py:351(render_shape)
183327/124161    1.821    0.000    6.533    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      982    4.814    0.005    5.720    0.006 DecaUtils.py:14(upsample_mesh)
     1722    0.145    0.000    4.349    0.003 Renderer.py:141(forward)
     1004    4.051    0.004    4.051    0.004 {method 'write' of 'cv2.VideoWriter' objects}
7134/4182    0.030    0.000    3.789    0.001 container.py:137(forward)
      246    0.007    0.000    3.786    0.015 DECA.py:469(encode)
      738    0.001    0.000    3.687    0.005 DecaEncoder.py:59(forward)
      738    0.001    0.000    3.623    0.005 DecaEncoder.py:50(forward_features)
      738    0.009    0.000    3.619    0.005 ResNet.py:66(forward)
    11808    0.162    0.000    3.437    0.000 ResNet.py:100(forward)
     1722    0.051    0.000    2.797    0.002 rasterize_meshes.py:29(rasterize_meshes)
      246    0.004    0.000    2.706    0.011 DECA.py:370(_encode_flame)
     1964    2.638    0.001    2.638    0.001 {imwrite}
      246    0.001    0.000    2.629    0.011 DECA.py:3204(_encode_flame)
     5166    0.230    0.000    2.613    0.001 meshes.py:957(_compute_packed)
     1722    0.004    0.000    2.611    0.002 meshes.py:554(verts_packed)
      982    0.019    0.000    2.199    0.002 utils.py:185(get_preds_fromhm)
        1    0.000    0.000    2.002    2.002 load.py:159(load_model)
        1    0.000    0.000    1.950    1.950 load.py:32(load_deca)
        1    0.000    0.000    1.949    1.949 saving.py:52(load_from_checkpoint)
    72679    1.925    0.000    1.925    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     9886    0.072    0.000    1.848    0.000 Image.py:2728(fromarray)
     3928    0.036    0.000    1.845    0.000 exposure.py:777(is_low_contrast)
        1    0.000    0.000    1.840    1.840 saving.py:156(_load_model_state)
        1    0.000    0.000    1.836    1.836 dispatcher.py:340(_compile_for_args)
     38/1    0.000    0.000    1.829    1.829 dispatcher.py:864(compile)
     12/1    0.000    0.000    1.829    1.829 dispatcher.py:78(compile)
     12/1    0.000    0.000    1.829    1.829 dispatcher.py:85(_compile_cached)
     12/1    0.000    0.000    1.829    1.829 dispatcher.py:100(_compile_core)
     12/1    0.000    0.000    1.829    1.829 compiler.py:580(compile_extra)
     24/1    0.000    0.000    1.803    1.803 compiler.py:347(compile_extra)
     24/1    0.000    0.000    1.802    1.802 compiler.py:410(_compile_bytecode)
     24/1    0.000    0.000    1.802    1.802 compiler.py:370(_compile_core)
     24/1    0.001    0.000    1.802    1.802 compiler_machinery.py:316(run)
   528/22    0.001    0.000    1.802    0.082 compiler_lock.py:32(_acquire_compile_lock)
   528/22    0.003    0.000    1.802    0.082 compiler_machinery.py:257(_runPass)
  1584/66    0.001    0.000    1.801    0.027 compiler_machinery.py:261(check)
     2946    0.015    0.000    1.763    0.001 _warps.py:692(_clip_warp_output)
        1    0.000    0.000    1.747    1.747 DECA.py:72(__init__)
        1    0.000    0.000    1.746    1.746 DECA.py:2728(__init__)
      246    0.001    0.000    1.743    0.007 DECA.py:3028(_encode_flame)
    80048    0.593    0.000    1.729    0.000 {built-in method numpy.array}
    58539    0.027    0.000    1.688    0.000 <__array_function__ internals>:177(concatenate)
     1964    0.009    0.000    1.648    0.001 Image.py:1439(paste)
    22587    0.017    0.000    1.645    0.000 fromnumeric.py:51(_wrapfunc)
      246    0.027    0.000    1.632    0.007 Renderer.py:217(forward)
     1964    1.631    0.001    1.631    0.001 {method 'paste' of 'ImagingCore' objects}
     6874    0.010    0.000    1.530    0.000 <__array_function__ internals>:177(clip)
     6874    0.013    0.000    1.503    0.000 fromnumeric.py:2083(clip)
      985    0.015    0.000    1.488    0.002 npyio.py:272(load)
