         12683407 function calls (12228754 primitive calls) in 122.235 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.048    0.048  122.237  122.237 test_emoca_on_video_queue.py:47(reconstruct_video)
        2    0.000    0.000   72.564   36.282 datamodule.py:393(wrapped_fn)
        1    0.000    0.000   72.249   72.249 FaceVideoDataModule.py:3208(prepare_data)
        1    0.000    0.000   72.206   72.206 FaceVideoDataModule.py:229(_detect_faces)
        1    0.012    0.012   72.206   72.206 FaceVideoDataModule.py:340(_detect_faces_in_sequence)
     1004    0.019    0.000   72.089    0.072 FaceDataModuleBase.py:201(_detect_faces_in_image_wrapper)
     1004    0.004    0.000   71.991    0.072 FaceVideoDataModule.py:3242(_detect_faces_in_image)
     1004    0.847    0.001   71.987    0.072 FaceDataModuleBase.py:134(_detect_faces_in_image)
     1004    0.019    0.000   43.260    0.043 FaceDetector.py:91(run)
     1004    0.003    0.000   42.176    0.042 api.py:98(get_landmarks)
     1004    0.008    0.000   42.173    0.042 grad_mode.py:24(decorate_context)
     1004    0.088    0.000   42.145    0.042 api.py:112(get_landmarks_from_image)
     1248   28.325    0.023   28.325    0.023 {method 'acquire' of '_thread.lock' objects}
        1    0.000    0.000   27.938   27.938 threading.py:979(join)
        1    0.000    0.000   27.938   27.938 threading.py:1017(_wait_for_tstate_lock)
54629/2358   13.303    0.000   27.285    0.012 module.py:1124(_call_impl)
     1004    0.006    0.000   23.604    0.024 sfd_detector.py:42(detect_from_image)
     1004    0.016    0.000   23.449    0.023 detect.py:10(detect)
     1004    0.069    0.000   22.079    0.022 detect.py:20(batch_detect)
     1006    0.014    0.000   21.512    0.021 _io.py:16(imread)
     1006    0.004    0.000   17.559    0.017 manage_plugins.py:171(call_plugin)
     1006    0.008    0.000   17.554    0.017 imageio_plugin.py:8(imread)
     1006    0.005    0.000   17.543    0.017 functions.py:237(imread)
     1006    0.006    0.000   16.812    0.017 functions.py:148(get_reader)
       31    0.028    0.001   15.614    0.504 io.py:77(test)
    16131   14.812    0.001   14.812    0.001 {method 'cpu' of 'torch._C._TensorBase' objects}
     1006    0.004    0.000   13.823    0.014 format.py:157(get_reader)
     1006    0.004    0.000   13.818    0.014 format.py:215(__init__)
     1006    0.002    0.000   13.813    0.014 pillow.py:297(_open)
     1006    0.010    0.000   13.811    0.014 pillow.py:118(_open)
     1006    0.002    0.000   13.714    0.014 pillow.py:666(pil_try_read)
     2012    0.002    0.000   13.714    0.007 Image.py:1264(getdata)
     3020    0.249    0.000   13.712    0.005 ImageFile.py:154(load)
       31    0.001    0.000   13.556    0.437 io.py:86(decode)
     1004    0.021    0.000   11.762    0.012 detect.py:41(<listcomp>)
    36239    0.043    0.000    9.372    0.000 conv.py:456(forward)
    36239    0.034    0.000    9.305    0.000 conv.py:448(_conv_forward)
    36239    9.271    0.000    9.271    0.000 {built-in method torch.conv2d}
   145920    0.265    0.000    8.770    0.000 PngImagePlugin.py:888(load_read)
